# pattern<TAB>flow_ids(comma-separated)<TAB>notes
convex/apiKeysInternal.ts	F13	API key issuance/validation internals
convex/organizationApiSettings.ts	F13	Organization API settings
convex/integrations/chatwoot.ts	F13	Chatwoot integration setup/runtime
convex/integrations/manychat.ts	F13	Manychat integration setup/runtime
convex/integrations/infobip.ts	F13	Infobip integration setup/runtime
convex/integrations/resend.ts	F13	Resend integration setup/runtime
convex/integrations/pushover.ts	F13	Pushover integration setup/runtime
convex/integrations/telegram.ts	F13	Telegram integration setup/runtime
convex/api/v1/oauth*	F13	OAuth API endpoints
convex/api/v1/api-keys*	F13	API key endpoints
convex/api/v1/auth*	F1,F13	Frontend/external auth API endpoints
src/app/integrations/*	F13	Integrations UI path
src/app/api/v1/api-keys/*	F13	Next API key routes
src/app/api/v1/auth/*	F13	Next auth sync routes
src/components/window-content/integrations-window/*	F13	Integration settings UI

convex/credits/*	F14	Credit balances, deduction, and sharing
convex/licensing/*	F14	Plan/tier limits and features
convex/ai/billing.ts	F2,F14	AI billing subscription runtime
convex/stripe/ai*	F14	AI Stripe checkout and webhooks
convex/stripe/creditCheckout.ts	F14	Credit purchase checkout
convex/stripe/trial*	F14	Trial lifecycle billing runtime
convex/stripe/platformCheckout.ts	F14	Platform checkout orchestration
convex/stripe/stripePrices.ts	F14	Stripe price metadata runtime
convex/paymentProviderOntology.ts	F3,F14	Payment provider state and selection
convex/organizationPaymentSettings.ts	F14	Organization billing/payment settings
src/app/store/*	F14	Plan/store UI path
src/app/payments/*	F14	Payment settings UI path
src/app/upgrade/*	F14	Upgrade UI path
src/components/ai-billing/*	F14	AI billing UI components
src/components/window-content/store/*	F14	Store window UI components

convex/compliance.ts	F15	Compliance document runtime
convex/audit*	F15	Audit runtime and exports
convex/security/*	F15	Security and usage tracking runtime
convex/middleware/*	F15	Runtime guard middleware
convex/permissionErrors.ts	F15	Permission error policy surface
convex/activityProtocol.ts	F15	Runtime activity governance logging
convex/workflowExecutionLogs.ts	F4,F15	Workflow execution audit trail
src/app/compliance/*	F15	Compliance UI path
src/components/permission/*	F15	Permission guard UI components
src/components/permission-error-boundary.tsx	F15	Permission error boundary

convex/ontologyTranslations.ts	F16	Translation query/mutation runtime
convex/translationResolver.ts	F16	Ontology object translation resolver
convex/translations/*	F16	Translation seed/update modules
src/contexts/translation-context.tsx	F16	Locale context runtime
src/hooks/use-namespace-translations.ts	F16	Namespace translation hooks
